"year","hour","solar","solardiff","temp","rh","windspeed","precip","doy"
2006,5,0,0,10.0359439849854,0.572174072265625,4.65267038345337,0.0295890774577856,299
2006,6,0,0,8.85268592834473,0.681187570095062,5.88227701187134,0.161306172609329,299
2006,7,0,0,8.85268592834473,0.681187570095062,5.88227701187134,0.161306172609329,299
2006,8,0,0,8.85268592834473,0.681187570095062,5.88227701187134,0.161306172609329,299
2006,9,0,0,7.87429189682007,0.866651475429535,7.05154705047607,0.215641140937805,299
2006,10,0,0,7.87429189682007,0.866651475429535,7.05154705047607,0.215641140937805,299
2006,11,0,0,7.87429189682007,0.866651475429535,7.05154705047607,0.215641140937805,299
2006,12,8.7022629102762e-09,6.63354682922363,7.38723134994507,0.865462601184845,7.40405702590942,0.300685912370682,299
2006,13,8.7022629102762e-09,6.63354682922363,7.38723134994507,0.865462601184845,7.40405702590942,0.300685912370682,299
2006,14,8.7022629102762e-09,6.63354682922363,7.38723134994507,0.865462601184845,7.40405702590942,0.300685912370682,299
2006,15,10.3208103179932,511.283782958984,7.80953359603882,0.866290807723999,7.71509075164795,0.141550198197365,299
2006,16,10.3208103179932,511.283782958984,7.80953359603882,0.866290807723999,7.71509075164795,0.141550198197365,299
2006,17,10.3208103179932,511.283782958984,7.80953359603882,0.866290807723999,7.71509075164795,0.141550198197365,299
2006,18,1.06631779670715,239.111206054688,9.47976112365723,0.780448019504547,6.61740064620972,0.000713219458702952,299
2006,19,1.06631779670715,239.111206054688,9.47976112365723,0.780448019504547,6.61740064620972,0.000713219458702952,299
2006,20,1.06631779670715,239.111206054688,9.47976112365723,0.780448019504547,6.61740064620972,0.000713219458702952,299
2006,21,0.386253476142883,236.436950683594,10.7987003326416,0.740435540676117,5.75615072250366,0,299
2006,22,0.386253476142883,236.436950683594,10.7987003326416,0.740435540676117,5.75615072250366,0,299
2006,23,0.386253476142883,236.436950683594,10.7987003326416,0.740435540676117,5.75615072250366,0,299
2006,0,0,0,11.9240665435791,0.678619801998138,4.90908336639404,0,300
2006,1,0,0,11.9240665435791,0.678619801998138,4.90908336639404,0,300
2006,2,0,0,11.9240665435791,0.678619801998138,4.90908336639404,0,300
2006,3,0,0,11.0960636138916,0.669527947902679,4.5429253578186,0,300
2006,4,0,0,11.0960636138916,0.669527947902679,4.5429253578186,0,300
2006,5,0,0,11.0960636138916,0.669527947902679,4.5429253578186,0,300
2006,6,0,0,10.3759098052979,0.636581480503082,4.56724500656128,0,300
2006,7,0,0,10.3759098052979,0.636581480503082,4.56724500656128,0,300
2006,8,0,0,10.3759098052979,0.636581480503082,4.56724500656128,0,300
2006,9,0,0,9.9083194732666,0.590705931186676,4.68278837203979,0,300
2006,10,0,0,9.9083194732666,0.590705931186676,4.68278837203979,0,300
2006,11,0,0,9.9083194732666,0.590705931186676,4.68278837203979,0,300
2006,12,6.01425817876589e-05,9.49663066864014,8.65334510803223,0.632101714611053,5.78393840789795,0,300
2006,13,6.01425817876589e-05,9.49663066864014,8.65334510803223,0.632101714611053,5.78393840789795,0,300
2006,14,6.01425817876589e-05,9.49663066864014,8.65334510803223,0.632101714611053,5.78393840789795,0,300
2006,15,57.7640266418457,584.556518554688,8.20314979553223,0.667408347129822,5.94654512405396,0,300
2006,16,57.7640266418457,584.556518554688,8.20314979553223,0.667408347129822,5.94654512405396,0,300
2006,17,57.7640266418457,584.556518554688,8.20314979553223,0.667408347129822,5.94654512405396,0,300
2006,18,1055.97106933594,273.682922363281,11.576868057251,0.533896505832672,4.7960729598999,0,300
2006,19,1055.97106933594,273.682922363281,11.576868057251,0.533896505832672,4.7960729598999,0,300
2006,20,1055.97106933594,273.682922363281,11.576868057251,0.533896505832672,4.7960729598999,0,300
2006,21,343.650329589844,199.238006591797,13.790491104126,0.514051258563995,3.48882126808167,0,300
2006,22,343.650329589844,199.238006591797,13.790491104126,0.514051258563995,3.48882126808167,0,300
2006,23,343.650329589844,199.238006591797,13.790491104126,0.514051258563995,3.48882126808167,0,300
2006,0,0,0,11.0378665924072,0.619693875312805,2.14249849319458,0,301
2006,1,0,0,11.0378665924072,0.619693875312805,2.14249849319458,0,301
2006,2,0,0,11.0378665924072,0.619693875312805,2.14249849319458,0,301
2006,3,0,0,8.38112831115723,0.792766511440277,4.86389493942261,0,301
2006,4,0,0,8.38112831115723,0.792766511440277,4.86389493942261,0,301
2006,5,0,0,8.38112831115723,0.792766511440277,4.86389493942261,0,301
2006,6,0,0,6.51555776596069,0.81428188085556,3.77525401115417,0,301
2006,7,0,0,6.51555776596069,0.81428188085556,3.77525401115417,0,301
2006,8,0,0,6.51555776596069,0.81428188085556,3.77525401115417,0,301
2006,9,0,0,5.59066152572632,0.963761627674103,6.90203809738159,0,301
2006,10,0,0,5.59066152572632,0.963761627674103,6.90203809738159,0,301
2006,11,0,0,5.59066152572632,0.963761627674103,6.90203809738159,0,301
2006,12,9.58089276537066e-06,7.96075820922852,7.21825551986694,0.904615640640259,6.81011867523193,0,301
